"","quantile_p","arm_type","replication","strategy","num_rounds","chosen_arm"
"1",0.05,"uniform",1,"LUCB BB",4509,0
"2",0.05,"uniform",1,"LUCB DKW",68513,0
"3",0.05,"uniform",1,"LUCB Stitched",9379,0
"4",0.05,"uniform",1,"QPAC BB",10380,0
"5",0.05,"uniform",1,"QPAC",113430,0
"6",0.05,"uniform",1,"Doubled Max-Q",1177856,0
"7",0.05,"uniform",2,"LUCB BB",4919,0
"8",0.05,"uniform",2,"LUCB DKW",62317,0
"9",0.05,"uniform",2,"LUCB Stitched",7880,0
"10",0.05,"uniform",2,"QPAC BB",7960,0
"11",0.05,"uniform",2,"QPAC",104270,0
"12",0.05,"uniform",2,"Doubled Max-Q",1260032,0
"13",0.05,"uniform",3,"LUCB BB",3179,0
"14",0.05,"uniform",3,"LUCB DKW",65895,0
"15",0.05,"uniform",3,"LUCB Stitched",8069,0
"16",0.05,"uniform",3,"QPAC",89890,0
"17",0.05,"uniform",3,"QPAC BB",7090,0
"18",0.05,"uniform",3,"Doubled Max-Q",1150464,0
"19",0.05,"uniform",4,"LUCB BB",3345,0
"20",0.05,"uniform",4,"LUCB DKW",66141,0
"21",0.05,"uniform",4,"LUCB Stitched",7790,0
"22",0.05,"uniform",4,"QPAC",106750,0
"23",0.05,"uniform",4,"QPAC BB",5690,0
"24",0.05,"uniform",4,"Doubled Max-Q",1205248,0
"25",0.05,"uniform",5,"LUCB BB",4949,0
"26",0.05,"uniform",5,"LUCB DKW",70281,0
"27",0.05,"uniform",5,"LUCB Stitched",9279,0
"28",0.05,"uniform",5,"QPAC",99810,0
"29",0.05,"uniform",5,"QPAC BB",8540,0
"30",0.05,"uniform",5,"Doubled Max-Q",1177856,0
"31",0.05,"uniform",6,"LUCB BB",4364,0
"32",0.05,"uniform",6,"LUCB DKW",69222,0
"33",0.05,"uniform",6,"LUCB Stitched",9005,0
"34",0.05,"uniform",6,"QPAC",112850,0
"35",0.05,"uniform",6,"QPAC BB",8970,0
"36",0.05,"uniform",6,"Doubled Max-Q",1177856,0
"37",0.05,"uniform",7,"LUCB BB",3817,0
"38",0.05,"uniform",7,"LUCB DKW",70653,0
"39",0.05,"uniform",7,"LUCB Stitched",8807,0
"40",0.05,"uniform",7,"QPAC BB",9280,0
"41",0.05,"uniform",7,"QPAC",109930,0
"42",0.05,"uniform",7,"Doubled Max-Q",1205248,0
"43",0.05,"uniform",8,"LUCB BB",4243,0
"44",0.05,"uniform",8,"LUCB DKW",61726,0
"45",0.05,"uniform",8,"LUCB Stitched",8313,0
"46",0.05,"uniform",8,"QPAC BB",9400,0
"47",0.05,"uniform",8,"QPAC",91870,0
"48",0.05,"uniform",8,"Doubled Max-Q",1205248,0
"49",0.05,"uniform",9,"LUCB BB",4433,0
"50",0.05,"uniform",9,"LUCB DKW",66573,0
"51",0.05,"uniform",9,"LUCB Stitched",8025,0
"52",0.05,"uniform",9,"QPAC",103560,0
"53",0.05,"uniform",9,"QPAC BB",7700,0
"54",0.05,"uniform",9,"Doubled Max-Q",1123072,0
"55",0.05,"uniform",10,"LUCB BB",3873,0
"56",0.05,"uniform",10,"LUCB DKW",58644,0
"57",0.05,"uniform",10,"LUCB Stitched",8889,0
"58",0.05,"uniform",10,"QPAC",104010,0
"59",0.05,"uniform",10,"QPAC BB",4900,0
"60",0.05,"uniform",10,"Doubled Max-Q",1260032,0
"61",0.05,"uniform",11,"LUCB BB",4240,0
